tweetId,tweet,favorites
1592776673891581952,"NASA’s majestic new rocket, Artemis I, soared into space for the first time, lighting up the night sky and accelerating on a journey that will take an astronaut-less capsule around the moon and back. 🚀 https://t.co/jlsGR84Rd2 https://t.co/OPXWYU1pYT",1011
1540055729192800256,"The Biden administration is banning Juuls but distributing free crack pipes. 

Make it make sense.",30127
1659068371546288128,"RT @koju0428: テイルズ　アスタリア
(求)画像の未所持のジェイドのスクショ
(譲)所持ジェイド
よろしくお願いします。 https://t.co/H97EhPJCEg",0
1684713138187325440,オーストラリア・サウスウェルズ州(シドニー)では、牛にmRNAワクチンを接種している。その結果、18%の牛が死んだのに、ワクチン接種牛は食用として売られている。勿論乳製品も危ない。人がワクチンを接種しなくても、食べ物からスパイク蛋白が入ってくる可能性は高い。,1784
1634230409746878464,"RT @YBC_jp: ✨毎日抽選＆当選 #フォローRT あと3日　

業界越えて初コラボ💞
#PABLOとろけるチーズタルト ＆
#ルヴァンクラシカルクランチ PABLOチーズタルト味 
合計30名様に🎊

1⃣@YBC_jpをフォロー
2⃣この投稿を 3/11 9:59 迄…",0
1673351864711278592,"This is Russia a day after the failed mutiny. No Pride flags or drag queens in sight, either. https://t.co/iuTvXRz7aX",52979
1562790834793156608,"Heartbreaking piece from @kelseybolar on how the transgender social contagion took over an Alaska town, permeated a school, and turned a family's life upside down. https://t.co/5ejVpQZjeG",23
1583812068007763968,"BREAKING: The Founder of @TribelSocial, a new fast-growing pro-democracy Twitter alternative, declares that soon-to-be Twitter owner @elonmusk is a Russian asset who coddles Trump &amp; his fellow white supremacists — and vows to NEVER allow Trump on Tribel. RT IF YOU SUPPORT TRIBEL!",5841
963266259143024640,"Yesterday a little girl with Down syndrome ran up to Pope Francis while he was preaching and when his security guards tried to block her, he said “come sit next to me” and held her hand for the rest of the sermon. Love this so much. ❤️ https://t.co/Y4AJueTPGx",717
1665116384098127872,"実はChatGPT Plusは無料で使える

月額20ドルも払う必要はありません

99%の人が知らないその方法を紹介:

ブックマーク保存をおすすめします↓",4163
1672057004385525760,"マイナ保険証に関しては現状致命的な欠陥があって。
それは保険者番号記号番号は自動で入ってくるけど資格取得年月日/資格喪失年月日が入って来ないシステムだということ。つまりその保険証が今生きてるのか確認できないんです。どんなに紐付けを頑張っても解決できないバグ。これが直らないと論外なの",14108
1673634704996851712,"岸田首相 リトアニア・ベルギー・中東3か国を来月訪問へ

こうした国に一体、何をしに行くのだろうか。さすがに長男元秘書官を連れて行くことはないだろうが、巨額の税金を使った豪華な海外視察の前に、まずは目下家計を炎上させている岸田インフレを何とかすべきではないか？ https://t.co/ipMS1hP3sh",7072
1646934948568510464,"I've been fired from my job with the Forest Service because of the lies published by the Daily Mail, Newsweek, and other right-wing tabloids. But more poignantly: I was fired by the Biden administration for being a trans woman that owns a gun.",18250
1687659752837259264,https://t.co/dGAaIP5lqy,671
1654444783744569344,"If Harry the Hypocrite has really just flown to the UK for the Coronation on a private jet AGAIN, can we all promise to literally laugh in his face the next time he tries to tell us how we should all be cutting back our carbon emissions?
https://t.co/CYw1azfwpw",7478
1656119636809641984,"La parte del plan b que la @SCJN deshechó simplemente se refería a bajarle el sueldo a los consejeros del
@INEMexico. Eso es votar por el bien de Mexico?",1802
1559156906459103232,"When the Department of Justice refuses to investigate Hunter Biden for its political nature but targets Biden’s top political opponent, we have a serious problem.",22827
1588573277878091776,lmfao twitter has added context to this https://t.co/d4NCIgtCeR,2046
1590109344976470016,"A lot of folks have asked about how you'll be able to distinguish between @TwitterBlue subscribers with blue checkmarks and accounts that are verified as official, which is why we’re introducing the “Official"" label to select accounts when we launch. https://t.co/0p2Ae5nWpO",5204
1591698385824018432,RT @LicypriyaK: Many International Media took me interviews at #COP27 everyday but not a single Indian news media took me interview. They a…,0
1592134439626498048,So in Arizona you mean to tell me more people showed up to vote for Treasurer than Governor https://t.co/GbLE9JyR9z,26165
1596907540071165952,trump was right about everything… https://t.co/20Q0Xyvl6S,3034
1591226695922593792,"I've seen enough: Sen. Cortez Masto (D) wins reelection in #NVSEN, defeating Adam Laxalt (R).",12112
1605364099541614592,"So many people ask me about options for blood transfusions with unvaccinated blood. When I came across this group from Switzerland who are working on this issue-I wanted to share. Please do your homework &amp; feel free to post what you learn in the comments 
https://t.co/XjEn788FKc",11020
1606993889193246720,"Now we know why Twitter 1.0 allowed so much porn. It’s amazing how the FBI didn’t bring any of the child porn to Twitter’s attention while they were spying on American citizen’s tweets.

Former Twitter CEO Parag Agrawal arrested for child porn https://t.co/lHwMvQK2Ys",387
1668631117535272960,"In broad daylight, a scholar commits robbery against a pregnant white woman, accompanied by her two children. 

Notice a pattern? https://t.co/4FuZnXiCJn",17988
